filetype,size,duration,bitrate
video/avi,108109712,2999960,283393
video/avi,108109712,2999960,283393
video/avi,107795772,3000040,282552
video/avi,107795772,3000040,282552
video/avi,107333952,3000040,281309
video/avi,107333952,3000040,281309
video/avi,117570188,3300240,280100
video/avi,117570188,3300240,280100
video/avi,256126824,7200160,279656
video/avi,256126824,7200160,279656
video/avi,117260286,3300160,279386
video/avi,117260286,3300160,279386
video/avi,105933046,3000120,277579
video/avi,105933046,3000120,277579
video/avi,105548644,3000360,276530
video/avi,105548644,3000360,276530
video/avi,116066184,3299840,276469
video/avi,116066184,3299840,276469
video/avi,105298206,3000080,275859
video/avi,105298206,3000080,275859
video/avi,115538290,3300080,275195
video/avi,115538290,3300080,275195
video/avi,115471266,3300080,275025
video/avi,115471266,3300080,275025
video/avi,125861688,3600120,274788
video/avi,104847656,3000080,274714
video/avi,104847656,3000080,274714
video/avi,104786334,3000120,274549
video/avi,104786334,3000120,274549
video/avi,104408846,3000080,273520
video/avi,104408846,3000080,273520
video/avi,114738300,3300080,273248
video/avi,114738300,3300080,273248
video/avi,104100550,3000040,272705
video/avi,104100550,3000040,272705
video/avi,114361786,3300000,272320
video/avi,114361786,3300000,272320
video/avi,103771546,2999920,271828
video/avi,103771546,2999920,271828
video/avi,103688322,3000040,271642
video/avi,103688322,3000040,271642
video/avi,113670484,3300080,270680
video/avi,113670484,3300080,270680
video/avi,112914088,3300160,268849
video/avi,112914088,3300160,268849
video/avi,235976838,6900040,268697
video/avi,235976838,6900040,268697
video/avi,101249192,2999880,265108
video/avi,101249192,2999880,265108
video/avi,111108640,3300120,264457
video/avi,111108640,3300120,264457
video/avi,110858016,3300120,263835
video/avi,110858016,3300120,263835
video/avi,110625494,3300040,263273
video/avi,110625494,3300040,263273
video/avi,110541576,3300080,263074
video/avi,110499608,3300040,262967
video/avi,110499608,3300040,262967
video/avi,100073490,3000040,261979
video/avi,100073490,3000040,261979
video/avi,100043536,3000040,261873
video/avi,100043536,3000040,261873
video/avi,99788478,3000040,261200
video/avi,99788478,3000040,261200
video/avi,109725270,3300080,261107
video/avi,109725270,3300080,261107
video/avi,99573788,3000120,260623
video/avi,99573788,3000120,260623
video/avi,99569962,3000000,260617
video/avi,99569962,3000000,260617
video/avi,99383926,3000000,260092
video/avi,99383926,3000000,260092
video/avi,99318594,3000080,259947
video/avi,99318594,3000080,259947
video/avi,109087096,3300120,259546
video/avi,109087096,3300120,259546
video/avi,98591120,2999960,258018
video/avi,98591120,2999960,258018
video/avi,108444130,3300320,257954
video/avi,108444130,3300320,257954
video/avi,108151226,3299880,257284
video/avi,108151226,3299880,257284
video/avi,98034962,2999880,256517
video/avi,98034962,2999880,256517
video/avi,97783218,3000040,255854
video/avi,97783218,3000040,255854
video/avi,97737762,3000040,255732
video/avi,97737762,3000040,255732
video/avi,97621072,2999800,255429
video/avi,97621072,2999800,255429
video/avi,97353838,3000040,254708
video/avi,97353838,3000040,254708
video/avi,97047740,3000040,253894
video/avi,97047740,3000040,253894
video/avi,96964990,2999920,253713
video/avi,96964990,2999920,253713
video/avi,96975918,3000040,253711
video/avi,96975918,3000040,253711
video/avi,106609520,3300080,253550
video/avi,106609520,3300080,253550
video/avi,106485094,3300320,253232
video/avi,106485094,3300320,253232
video/avi,96649600,3000080,252860
video/avi,96649600,3000080,252860
video/avi,96575138,3000120,252661
video/avi,96575138,3000120,252661
video/avi,96468210,3000040,252339
video/avi,96468210,3000040,252339
video/avi,96309796,3000080,251924
video/avi,96309796,3000080,251924
video/avi,105792998,3300160,251562
video/avi,105792998,3300160,251562
video/avi,96105422,3000040,251373
video/avi,96105422,3000040,251373
video/avi,95962802,3000040,251003
video/avi,95962802,3000040,251003
video/avi,94706508,3000080,247646
video/avi,94706508,3000080,247646
video/avi,104084964,3299960,247418
video/avi,104084964,3299960,247418
video/avi,94496092,3000080,247099
video/avi,94496092,3000080,247099
video/avi,103880790,3300120,246927
video/avi,103880790,3300120,246927
video/avi,94104184,3000160,246035
video/avi,94104184,3000160,246035
video/avi,93899308,3000080,245505
video/avi,93899308,3000080,245505
video/avi,93768288,3000000,245160
video/avi,93768288,3000000,245160
video/avi,93706554,3000040,244987
video/avi,93706554,3000040,244987
video/avi,102847954,3300080,244426
video/avi,102847954,3300080,244426
video/avi,93416220,3000080,244204
video/avi,93416220,3000080,244204
video/avi,102579496,3300040,243752
video/avi,102579496,3300040,243752
video/avi,279477396,9000240,243526
video/avi,279477396,9000240,243526
video/avi,92871636,2999960,242756
video/avi,92871636,2999960,242756
video/avi,92826274,3000120,242638
video/avi,92257504,2999880,241119
video/avi,92257504,2999880,241119
video/avi,92127084,3000120,240779
video/avi,92127084,3000120,240779
video/avi,92068152,3000240,240589
video/avi,92068152,3000240,240589
video/avi,100769186,3300200,239379
video/avi,100769186,3300200,239379
video/avi,100764434,3300040,239366
video/avi,100764434,3300040,239366
video/avi,100414168,3300080,238547
video/avi,100414168,3300080,238547
video/avi,100379482,3300080,238441
video/avi,100379482,3300080,238441
video/avi,109339364,3600080,238072
video/avi,90624490,3000040,236809
video/avi,90624490,3000040,236809
video/avi,90638940,2999880,236798
video/avi,90638940,2999880,236798
video/avi,99262826,3300040,235715
video/avi,99262826,3300040,235715
video/avi,90165642,2999920,235547
video/avi,90165642,2999920,235547
video/avi,98706660,3300280,234348
video/avi,98706660,3300280,234348
video/avi,98657322,3300080,234264
video/avi,98657322,3300080,234264
video/avi,89654380,2999800,234198
video/avi,89654380,2999800,234198
video/avi,89559012,3000000,233942
video/avi,89559012,3000000,233942
video/avi,98214408,3300040,233194
video/avi,98214408,3300040,233194
video/avi,88996740,3000040,232423
